ENTIDAD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGUASCALIENTES,464.3585373620865,434.9048012053065,371.8351781482745,406.8219602039561,404.0804016046604,671.8802986951046,649.3229839472979,603.5244561088749,463.4730857948105,447.99999999999994,462.09999999999997,379.6,322.6,358.71346985888897,303.28888888888895,417.6844444444445,399.2,613.4,567.1999999999999,711.310202896307,509.3,655.0999999999999,582.2219570378401,656.9,414.90000000000003,493.09999999999997,257.8,447.68999999999994,756.44,534.66,836.7299999999999,574.89,579.41,768.6600000000001,453.1,498.1,672.3,389.8
BAJA CALIFORNIA,174.39116184652102,174.67161056457974,317.2905328269902,192.40624833466325,89.65643189795702,164.90962157860542,93.8158917772186,219.0243051182862,271.65482655153954,155.31924897677197,329.00000000000006,137.60000000000002,182.5,318.4300187784497,98.89142857142856,95.78388808192946,229.00000000000003,85.3,331.8,357.5205228779203,184.6,110.50000000000001,105.4756358007779,261.2,115.4,297.40000000000003,206.79999999999995,150.33999999999997,193.76000000000002,85.06,262.86,218.97,131.73000000000002,125.31,206.1,103.5,99.1,123.7
BAJA CALIFORNIA SUR,115.63475643342255,140.81885885668194,120.91020786408423,109.01202097746214,214.87518749282248,262.7134712681735,48.775652638778915,119.76366269452483,340.3440810386613,243.4,155.3,159.89999999999998,267.90000000000003,240.48934680457413,59.72502564102564,105.2725264070304,158.79999999999998,92.5,331.8,203.3649959151244,189.9,130.9,310.0,166.79458145738295,225.6,109.3,69.4,305.88,228.96000000000004,334.71999999999997,361.65,200.02,174.73999999999998,163.17999999999998,270.6,103.0,173.5,360.3
CAMPECHE,1015.0055284666975,969.8726706085789,1064.1720189040057,1274.7869852934805,1199.9839444113272,1173.543355645093,1285.4241316632688,1446.418539000169,1269.5537232066667,1317.8,1639.4999999999998,1270.3,1411.6999999999998,1291.135510602177,1458.3806688311688,1406.3747500164616,1488.0,1635.3999999999999,491.7,1225.2381593190203,1790.4,1533.5,1307.0893793396062,1560.0000000000002,1133.5,1425.1999999999998,1180.9,1141.1499999999999,1698.52,1390.12,1326.0799999999997,1176.97,1407.3,1389.7900000000002,1303.2,1779.3,1218.7,1423.4
COAHUILA,340.3174617830527,412.24214765665806,396.09261465528493,384.0993349101253,322.2490470939241,396.0625885409711,471.5661026453304,551.5134705874232,312.2480450735114,320.7,351.40000000000003,328.40000000000003,417.2247291272032,326.3451401513349,344.0792534092586,388.0129357085603,305.1,425.30000000000007,491.7,594.1652412824127,471.0999999999999,320.7,522.3,459.0,330.79999999999995,592.0,176.0,323.59,443.66,423.84000000000003,525.0300000000002,554.8399999999999,358.54,396.77,261.5,227.2,246.5,261.4
COLIMA,498.32684684904984,786.3210191077226,731.607071025477,788.9502678953751,724.0384895000145,1161.7610763282105,675.3624583573151,1353.4722832895259,1257.2073745350135,705.6,624.1,906.5999999999999,692.1999999999999,946.7800072947128,1070.1514405594405,759.6854410589411,715.3,956.5999999999999,877.1,978.007812830957,726.1000000000001,1102.8,1029.0709685305549,933.1,860.4,1200.7999999999997,1366.1000000000001,990.5699999999999,1877.1099999999997,1920.35,1956.7100000000003,1333.19,1728.8200000000002,1611.6799999999998,1816.7,1665.1,2280.7,1477.5
CHIAPAS,1849.8970188706944,1435.1007543847963,1803.6979884585728,2065.530783177818,1846.5303243281555,1833.159393127413,1214.3744464789647,1336.4768133661876,2144.920090946552,1623.3000000000002,2104.6000000000004,1522.4000000000003,1475.6999999999998,1662.5175765329275,2078.3578664043976,2170.1518464249616,2269.8999999999996,2088.0,1935.6000000000001,1713.8349922991665,2190.7000000000007,2354.2000000000003,2302.6365281133885,2354.8999999999996,1953.1000000000001,2730.3,2381.6000000000004,1885.3200000000002,2278.86,2056.09,1741.0500000000002,1614.24,1993.9799999999998,1705.27,1767.4,2167.9,1807.2,2054.1
CHIHUAHUA,377.6542786571704,447.54801156397804,466.96772495110554,411.03729005196124,373.2082800356473,526.0253999826245,587.1354402468763,456.05772602267047,536.8616231805735,477.5,347.4000000000001,439.90000000000003,455.3999999999999,271.3100327294839,238.9,306.5819397797381,322.9,353.6,374.79999999999995,745.3648397352091,462.5,607.0,496.5139142785567,550.1,468.9,469.99999999999994,260.5,471.45000000000005,618.15,490.03,630.5,512.4799999999999,453.82000000000005,490.75,470.3,260.8,410.6,472.6
CIUDAD DE MÉXICO,714.0822221387365,688.3115875024982,693.2022995219417,771.1387508914694,592.0426509982526,835.3442132642442,1220.6590611350384,992.9593631292717,739.5155728955676,1022.1,961.2,619.9,778.0,787.8936519518957,675.8020595205853,762.89371034451,823.6,768.2,768.0,728.621148405391,645.3000000000001,882.4,866.521787333734,740.9,713.1000000000001,697.9000000000001,782.5999999999999,568.93,697.9899999999999,615.57,491.7600000000001,655.8499999999999,487.99,786.1799999999998,565.3,469.7,637.1,553.1
DURANGO,484.42470919655415,653.6461223857749,479.1615100146092,451.61199772966535,385.93958497009555,748.4065874432647,678.7520573206767,514.6394760943022,497.68992561640334,373.0,317.6,442.3,393.20000000000005,269.5721550809226,275.12080467313183,319.1,251.0,379.3,436.49999999999994,644.703749889511,373.8,581.9000000000001,429.59271174675126,642.6,519.4000000000001,559.3000000000001,245.6,406.26,513.8100000000001,496.61000000000007,627.1300000000001,509.7699999999999,454.63,520.53,428.8,390.4,469.9,502.2
